FEDERAL RECREATION AREA/SITE,PHONE,CITY,STATE,WEBSITE,ANNUAL SENIOR,ACCESS MILITARY 4th GRADE
Eufaula Lake,918-484-5135,Stigler,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/EufaulaLake.aspx,YES,YES
Fort Gibson Lake,918-682-4314,Fort Gibson,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/FortGibsonLake.aspx,YES,YES
Fort Supply Lake,580-766-2701,Fort Supply,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/FortSupplyLake.aspx,YES,YES
Hagerman NWR (borders OK & TX),903-786-2826,Sherman,OK,http://www.fws.gov/southwest/refuges/texas/hagerman,NO,YES
Heyburn Lake,918-865-2621,Sand Springs,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/HeyburnLake.aspx,YES,YES
Hugo Lake,580-326-3345,Sawyer,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/HugoLake.aspx,YES,YES
Kaw Lake,580-762-5611,Ponca City,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/KawLake.aspx,YES,YES
Keystone Lake,918-865-2621,Sand Springs,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/KeystoneLake.aspx,YES,YES
Lake Texoma (both OK and TX),903-465-4990,Denison,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/LakeTexoma.aspx,YES,YES
Oologah Lake,918-443-2250,Oologah,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/OologahLake.aspx,YES,YES
Ouachita NF - Choctaw District,918-653-2991,Hodgen,OK,http://www.fs.usda.gov/ouachita,YES,YES
Ouachita NF - Hochatown District,580-494-6402,Broken Bow,OK,http://www.fs.usda.gov/ouachita,YES,YES
Pine Creek,580-933-4239,Valliant,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/PineCreekLake.aspx,YES,YES
RS Kerr,918-484-5135,Stigler,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/RobertSKerrLockandDam.aspx,YES,YES
Sardis Lake,918-569-4131,Clayton,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/SardisLake.aspx,YES,YES
Skiatook Lake,918-396-3170,Skiatook,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/SkiatookLake.aspx,YES,YES
Tenkiller Lake,918-487-5252,Gore,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/TenkillerLake.aspx,YES,YES
Waurika Lake,580-963-2111,Waurika,OK,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/WaurikaLake.aspx,YES,YES
Wichita Mountains National Wildlife Refuge,580-429-3222,Indiahoma,OK,http://www.fws.gov/southwest/refuges/oklahoma/wichitamountains,YES,YES
BLM Baker Office,541-523-1256,Baker City,OR,http://www.blm.gov/or/districts/vale/index.php,YES,YES
BLM Burns Office,541-573-4400,Hines,OR,http://www.blm.gov/or/districts/burns/index.php,YES,YES
BLM Medford Office,541-618-2200,Medford,OR,http://www.blm.gov/or/districts/medford/index.php,YES,YES
BLM Prineville Office,541-416-6700,Prineville,OR,http://www.blm.gov/or/districts/prineville/index.php,YES,YES
BLM Salem Office,503-375-5646,Salem,OR,http://www.blm.gov/or/districts/salem/index.php,YES,YES
Bonneville Lock and Dam- Bradford Island Visitor Center,541-374-8820,Cascade Locks,OR,http://corpslakes.usace.army.mil/visitors/projects.cfm?Id=G273459,YES,YES
Coos Bay BLM District Office,541-756-0100,North Bend,OR,http://www.blm.gov/or/districts/coosbay/index.php,YES,YES
Cottage Grove Lake - Pine Meadows Campground,541-942-5631,Cottage Grove,OR,http://corpslakes.usace.army.mil/visitors/projects.cfm?Id=G204020,YES,YES
Crater Lake National Park,541-594-3000,Crater Lake,OR,http://www.nps.gov/crla/,YES,YES
Crooked River National Grasland,541-475-9272,Madras,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Deschutes NF - Bend/Fort Rock District,541-383-4000,Bend,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Deschutes NF - Crescent District,541-433-3200,Crescent,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Deschutes NF - Lava Lands Visitor Center,541-593-2421,Bend,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Deschutes NF - Main Office,541-383-5300,Bend,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Deschutes NF - Redmond Air Center,541-504-7200,Redmond,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Deschutes NF - Sisters District,541-549-7700,Sisters,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Dorena Lake - Schwarz Park (Campground),541-942-5631,Cottage Grove,OR,http://corpslakes.usace.army.mil/visitors/projects.cfm?Id=G204910,YES,YES
Eugene District BLM Office,541-683-6600,Eugene,OR,http://www.blm.gov/or/districts/eugene/index.php,YES,YES
Fort Vancouver National Historic Site,360-816-6230,Vancouver ,OR,http://www.nps.gov/fova/,YES,YES
Fremont-Winema NF - Main Office,541-947-2151,Lakeview,OR,http://www.fs.fed.us/r6/frewin/contact/,YES,YES
John Day Lock and Dam - LePage Park,541-506-4807,Rufus,OR,http://www.nwp.usace.army.mil/Locations/ColumbiaRiver/JohnDay.aspx,YES,YES
Klamath Falls Resource Area,541-883-6916,Klamath Falls,OR,http://www.blm.gov/or/districts/lakeview/index.php,YES,YES
Lakeview Resource Area,541-947-2177,Lakeview,OR,http://www.blm.gov/or/districts/lakeview/index.php,YES,YES
Lewis & Clark National Historical Park,503-861-2471,Astoria,OR,http://www.nps.gov/lewi/,YES,YES
Malheur NF - Emigrant Creek District,541-573-4300,Hines,OR,http://www.fs.fed.us/r6/malheur/contact/index.shtml,YES,YES
Malheur NF - Main Office,541-575-3000,John Day,OR,http://www.fs.fed.us/r6/malheur/contact/index.shtml,YES,YES
Malheur NF - Prairie City District,541-820-3800,Prairie City,OR,http://www.fs.fed.us/r6/malheur/contact/index.shtml,YES,YES
McNary Lock & Dam Pacific Salmon Visitor Center,541-922-2276,Umatilla,OR,http://www.nww.usace.army.mil/Missions/Recreation/McNaryDamandLakeWallula/PacificSalmonVisitorInformationCenter.aspx,YES,YES
Mt Hood NF - Barlow District,541-467-2291,Dufur,OR,http://www.fs.fed.us/r6/mthood/contact/,YES,YES
Mt Hood NF - Clackamas River District,503-630-6861,Estacada,OR,http://www.fs.fed.us/r6/mthood/contact/,YES,YES
Mt Hood NF - Hood River District,541-352-6002,Parkdale,OR,http://www.fs.fed.us/r6/mthood/contact/,YES,YES
Mt Hood NF - Zigzag District,503-622-3191,Zigzag,OR,http://www.fs.fed.us/r6/mthood/contact/,YES,YES
National Historic Oregon Trail Interpretive Center,541-523-1843,Baker City,OR,http://www.blm.gov/or/oregontrail,YES,YES
Ochoco NF - Lookout Mountain District,541-416-6500,Prineville,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Ochoco NF - Main Office,541-416-6500,Prineville,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Ochoco NF - Paulina District,541-477-6900,Paulina,OR,http://www.fs.fed.us/r6/centraloregon/contact/,YES,YES
Oregon Caves National Monument,541-592-4076,Cave Junction,OR,http://www.nps.gov/orca,YES,YES
Rogue River - Siskiyou NF - Gold Beach District,541-412-6000,Brookings,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - Gold Beach District,541-247-3600,Gold Beach,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - High Cascades District,541-560-3400,Prospect,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - High Cascades District,541-865-2700,Butte Falls,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - Main Office,541-858-2200,Medford,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - Powers District,541-439-6200,Powers,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - Siskiyou Mountains District,541-899-3800,Jacksonville,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - Siskiyou Mountains District,541-552-2900,Ashland,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - Wild Rivers District,541-471-6500,Grants Pass,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Rogue River - Siskiyou NF - Wild Rivers District,541-592-4000,Cave Junction,OR,http://www.fs.fed.us/r6/rogue-siskiyou/contact/,YES,YES
Siuslaw NF - Cape Perpetua Visitor Center,541-547-3289,Yachats,OR,http://www.fs.fed.us/r6/siuslaw/contact/,YES,YES
Siuslaw NF - Florence Office,541-902-8526,Florence,OR,http://www.fs.fed.us/r6/siuslaw/contact/,YES,YES
Siuslaw NF - Hebo District,503-392-5100,Hebo,OR,http://www.fs.fed.us/r6/siuslaw/contact/,YES,YES
Siuslaw NF - Main Office,541-750-7000,Corvallis,OR,http://www.fs.fed.us/r6/siuslaw/contact/,YES,YES
Siuslaw NF - Oregon Dunes NRA Visitor Center,541-271-6000,Reedsport,OR,http://www.fs.fed.us/r6/siuslaw/contact/,YES,YES
Siuslaw NF - Waldport Office,541-563-3211,Waldport,OR,http://www.fs.fed.us/r6/siuslaw/contact/,YES,YES
The Dalles Lock and Dam- Visitor Center,541-506-7857,The Dalles,OR,http://www.nwp.usace.army.mil/Locations/ColumbiaRiver/TheDalles.aspx,YES,YES
Tillamook Resource Area,503-815-1100,Tillamook,OR,http://www.blm.gov/or/districts/salem/index.php,YES,YES
Umatilla NF - Heppner Ranger District,541-676-9187,Heppner,OR,http://www.fs.fed.us/r6/uma/contact/index.shtml,YES,YES
Umatilla NF - Main Office,541-278-3716,Pendleton,OR,http://www.fs.fed.us/r6/uma/contact/index.shtml,YES,YES
Umatilla NF - North Fork John Day District,541-427-3231,Ukiah,OR,http://www.fs.fed.us/r6/uma/contact/index.shtml,YES,YES
Umpqua NF - Cottage Grove District,541-767-5000,Cottage Grove,OR,http://www.fs.fed.us/r6/umpqua/contact/,YES,YES
Umpqua NF - Diamond Lake District,541-498-2531,Idleyld Park,OR,http://www.fs.fed.us/r6/umpqua/contact/,YES,YES
Umpqua NF - Diamond Lake Visitor Center,541-793-3310,Idleyld Park,OR,http://www.fs.fed.us/r6/umpqua/contact/,YES,YES
Umpqua NF - Main Office,541-672-6601,Roseburg,OR,http://www.fs.fed.us/r6/umpqua/contact/,YES,YES
Umpqua NF - North Umpqua District,541-496-3532,Glide,OR,http://www.fs.fed.us/r6/umpqua/contact/,YES,YES
Umpqua NF - Tiller District,541-825-3201,Tiller,OR,http://www.fs.fed.us/r6/umpqua/contact/,YES,YES
Wallowa-Whitman NF - Hells Canyon NRA,541-426-4978,Enterprise,OR,http://www.fs.fed.us/r6/w-w/contact/,YES,YES
Wallowa-Whitman NF - La Grande District,541-963-7186,La Grande,OR,http://www.fs.fed.us/r6/w-w/contact/,YES,YES
Wallowa-Whitman NF - Main Office,541-523-6391,Baker City,OR,http://www.fs.fed.us/r6/w-w/contact/,YES,YES
Wallowa-Whitman NF - Pine Station,541-742-7511,Halfway,OR,http://www.fs.fed.us/r6/w-w/contact/,YES,YES
Wallowa-Whitman NF - Unity Station,541-446-3351,Unity,OR,http://www.fs.fed.us/r6/w-w/contact/,YES,YES
Wallowa-Whitman NF - Wallowa Mountains Visitor Center,541-426-4978,Enterprise,OR,http://www.fs.fed.us/r6/w-w/contact/,YES,YES
Willamette NF - Detroit District,503-854-3366,Mill City,OR,http://www.fs.fed.us/r6/willamette/general/offices/index.html,YES,YES
Willamette NF - Main Office,541-225-6300,Eugene,OR,http://www.fs.fed.us/r6/willamette/general/offices/index.html,YES,YES
Willamette NF - McKenzie River District,541-822-3381,McKenzie Bridge,OR,http://www.fs.fed.us/r6/willamette/general/offices/index.html,YES,YES
Willamette NF - Middle Fork District,541-782-2283,Westfir,OR,http://www.fs.fed.us/r6/willamette/general/offices/index.html,YES,YES
Willamette NF - Sweet Home District,541-367-5168,Sweet Home,OR,http://www.fs.fed.us/r6/willamette/general/offices/index.html,YES,YES
Willamette Valley Project (Cottage Grove/Dorena),541-942-5631,Cottage Grove,OR,http://www.nwp.usace.army.mil/Missions/Recreation/Willamette.aspx,YES,YES
Yaquina Head Oustanding Natural Area,541-574-3100,Newport,OR,http://www.blm.gov/or/resources/recreation/yaquina/index.php?,YES,YES
Allegheny NF - Bradford District,814-362-4613,Bradford,PA,http://www.fs.fed.us/r9/forests/allegheny/contact/,YES,YES
Allegheny NF - Marienville District,814-927-6628,Marienville,PA,http://www.fs.fed.us/r9/forests/allegheny/contact/,YES,YES
Allegheny Portage Railroad National Historic Site,814-886-6150,Gallitzin,PA,http://www.nps.gov/alpo/,YES,YES
Conemaugh River Lake,724-459-7240,Saltsburg,PA,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/ConemaughRiverLake.aspx,YES,YES
Cowanesque Lake Project,570-835-0113,Tioga,PA,http://www.nab.usace.army.mil/Missions/DamsRecreation/CowanesqueLake.aspx,YES,YES
Crooked Creek Lake,724-763-3161,Ford City,PA,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/CrookedCreekLake.aspx,YES,YES
East Branch Clarion River Lake,814-965-2065,Wilcox,PA,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/EastBranchClarionRiverLake.aspx,YES,YES
Erie NWR,814-789-3585,Guys Mills,PA,http://www.fws.gov/northeast/erie/,YES,YES
Fort Necessity National Battlefield,724-329-5512,Farmington,PA,http://www.nps.gov/fone/,YES,YES
Grey Towers National Historic Site,570-296-9630,Milford,PA,http://www.fs.usda.gov/greytowers,YES,YES
Johnstown Flood National Memorial,814-495-4643,South Fork,PA,http://www.nps.gov/jofl/,YES,YES
Loyalhanna Lake,724-639-9013,Saltsburg,PA,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/LoyalhannaLake.aspx,YES,YES
Raystown Lake Project,814-658-6810,Hesston,PA,http://www.nab.usace.army.mil/Missions/DamsRecreation/Raystown.aspx,YES,YES
Shenango River Lake,724-962-7746,Hermitage,PA,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/ShenangoRiverLake.aspx,YES,YES
Steamtown National Historic Site,570-340-5200,Scranton,PA,http://www.nps.gov/stea/,YES,YES
Tioga-Hammond Lakes Project ,570-835-0113,Tioga,PA,http://www.nab.usace.army.mil/Missions/DamsRecreation/TiogaHammond.aspx,YES,YES
Tionesta Lake,814-755-3512,Tionesta,PA,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/TionestaLake.aspx,YES,YES
Youghiogheny River Lake,814-395-3242,Confluence,PA,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/YoughioghenyRiverLake.aspx,YES,YES
San Juan National Historic Site,787-729-6777,San Juan,PR,http://www.nps.gov/saju,YES,YES
Kettle Pond Visitors Center,401-364-9124,Charlestown,RI,http://www.fws.gov/refuge/ninigret/:,NO,YES
Roger Williams National Memorial,401-521-7266,Providence,RI,http://www.nps.gov/rowi/,YES,YES
Fort Moultrie National Monument,843-883-3123,Sullivan's Island,SC,http://www.nps.gov/fosu/,YES,YES
Francis Marion & Sumter NF - Andrew Pickens District Office,864-638-9568,Mountain Rest,SC,http://www.fs.fed.us/r8/fms/forest/contact/offices.shtml,YES,YES
Francis Marion & Sumter NF - Enoree District Office,803-276-4810,Whitmire,SC,http://www.fs.fed.us/r8/fms/forest/contact/offices.shtml,YES,YES
Francis Marion & Sumter NF - Enoree District Office (Tyger Office),864-427-9858,Union,SC,http://www.fs.fed.us/r8/fms/forest/contact/offices.shtml,YES,YES
Francis Marion & Sumter NF - Francis Marion District Office,843-336-2200,Huger,SC,http://www.fs.fed.us/r8/fms/forest/contact/offices.shtml,YES,YES
Francis Marion & Sumter NF - Lone Cane District Office,803-637-5396,Edgefield,SC,http://www.fs.fed.us/r8/fms/forest/contact/offices.shtml,YES,YES
Francis Marion & Sumter NF - Main Office,803-561-4000,Columbia,SC,http://www.fs.fed.us/r8/fms/forest/contact/,YES,YES
Kings Mountain National Military Park,864-936-7921,Blacksburg,SC,http://www.nps.gov/kimo/,YES,YES
Sewee Visitor & EE Center,843-928-3368,Awendaw,SC,http://www.fs.fed.us/r8/fms/forest/contact/offices.shtml,YES,YES
Thurmond Project,864-333-1103,Clarks Hill,SC,http://www.sas.usace.army.mil/About/DivisionsandOffices/OperationsDivision/JStromThurmondDamandLake.aspx,YES,YES
Badlands National Park,605-433-5361,SW South Dakota,SD,http://www.nps.gov/badl/,YES,YES
Big Bend Project,605-245-1808,Fort Thompson,SD,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/BigBend.aspx,YES,YES
Black Hills NF - Main Office,605-673-9200,Custer,SD,http://www.fs.fed.us/r2/blackhills/contact/addresses_new.shtml,YES,YES
Black Hills NF - Mystic District,605-343-1567,Rapid City,SD,http://www.fs.fed.us/r2/blackhills/contact/addresses_new.shtml,YES,YES
Black Hills NF - Northern Hills District,605-642-4622,Spearfish,SD,http://www.fs.fed.us/r2/blackhills/contact/addresses_new.shtml,YES,YES
Buffalo Gap National Grassland,605-745-4107,Hot Springs,SD,http://www.trailsandgrasslands.org/bgap.html,YES,YES
Dakota Prairie Grasslands - Grand River District,605-374-3592,Lemmon,SD,http://www.fs.fed.us/r1/dakotaprairie/grandriver.htm,YES,YES
Fort Pierre National Grassland,605-224-5517,Fort Pierre,SD,http://www.fs.fed.us/r2/nebraska/contact/forest_grassland_offices/offices.shtml,YES,YES
Jewel Cave National Monument,605-673-8300,Custer,SD,http://www.nps.gov/jeca/,YES,YES
Mount Rushmore National Memorial,605-574-2523,Keystone,SD,http://www.nps.gov/moru/,NO,YES
Nebraska NF - Fall River District,605-745-4107,Hot Springs,SD,http://www.fs.fed.us/r2/nebraska/contact/forest_grassland_offices/offices.shtml,YES,YES
Nebraska NF - Wall District,605-279-2125,Wall,SD,http://www.fs.fed.us/r2/nebraska/contact/forest_grassland_offices/offices.shtml,YES,YES
Oahe Project,605-945 3423,Pierre ,SD,http://www.nwo.usace.army.mil/Missions/DamandLakeProjects/MissouriRiverDams/Oahe.aspx,YES,YES
South Dakota BLM Office,605-892-7000,Belle Fourche,SD,http://www.blm.gov/mt/st/en/fo/south_dakota_field.html,YES,YES
Wind Cave National Park,605-745-4200,Hot Springs,SD,http://www.nps.gov/wica/,YES,YES
Big South Fork National River & Recreation Area,423-286-7275,Oneida,TN,http://www.nps.gov/biso/,YES,YES
Center Hill Lake,931-858-3125,Lancaster,TN,http://www.lrn.usace.army.mil/Locations/Lakes/CenterHillLake.aspx,YES,YES
Cheatham Lake,615-792-5697,Ashland City,TN,http://www.lrn.usace.army.mil/Locations/Lakes/CheathamLake.aspx,YES,YES
Cherokee NF - Main Office,423-476-9700,Cleveland,TN,http://www.fs.fed.us/r8/cherokee/contact2003/,YES,YES
Cherokee NF - Nolichucky/Unaka District,423-638-4109,Greeneville,TN,http://www.fs.fed.us/r8/cherokee/contact2003/,YES,YES
Cherokee NF - Ocoee/Hiwassee District,423-338-3300,Benton,TN,http://www.fs.fed.us/r8/cherokee/contact2003/,YES,YES
Cherokee NF - Tellico/Hiwassee District,423-253-8400,Tellico Plains,TN,http://www.fs.fed.us/r8/cherokee/contact2003/,YES,YES
Cherokee NF - Watauga District,423-735-1500,Unicoi,TN,http://www.fs.fed.us/r8/cherokee/contact2003/,YES,YES
Chickamauga and Chattanooga NMP- Lookout Mountain,423-821-7786,Chattanooga,TN,http://www.nps.gov/chch/,YES,YES
Cordell Hull Lake,615-735-1034,Carthage,TN,http://www.lrn.usace.army.mil/Locations/Lakes/CordellHullLake.aspx,YES,YES
Dale Hollow Lake,931-858-3125,Celina,TN,http://www.lrn.usace.army.mil/Locations/Lakes/DaleHollowLake.aspx,YES,YES
Dale Hollow National Fish Hatchery,931-243-2443,Celina,TN,http://www.fws.gov/dalehollow,NO,YES
Great Smoky Mountain NP - Cades Cove Campground,865-448-2472,Townsend,TN,http://www.nps.gov/grsm/planyourvisit/visitorcenters.htm,NO,YES
Great Smoky Mountains National Park,865-430-3112,Gatlinburg,TN,http://www.nps.gov/grsm/,YES,YES
Great Smoky Mountains NP - Cades Cove V.C.,None,Townsend,TN,http://www.nps.gov/grsm/planyourvisit/visitorcenters.htm,YES,YES
Great Smoky Mountains NP - Elkmont Campground,865-436-1271,Gatlinburg,TN,http://www.nps.gov/grsm/planyourvisit/visitorcenters.htm,NO,YES
Great Smoky Mountains NP - Sevierville VC,865-932-4650,Sevierville,TN,http://www.nps.gov/grsm/planyourvisit/visitorcenters.htm,NO,YES
Great Smoky Mountains NP - Sugarland VC,865-436-1200,Gatlinburg,TN,http://www.nps.gov/grsm/planyourvisit/visitorcenters.htm,YES,YES
Hatchie NWR,731-772-0501,Brownsville,TN,http://www.fws.gov/hatchie/,NO,YES
J. Percy Priest Lake,615-889-1975,Nashville,TN,http://www.lrn.usace.army.mil/Locations/Lakes/JPercyPriestLake.aspx,YES,YES
Land Between the Lakes NRA,931-232-7956,Dover,TN,http://www.lbl.org,NO,YES
Obed Wild and Scenic River,423-346-6294,Wartburg,TN,http://www.nps.gov/obed,YES,YES
Old Hickory Lake,615-822-4846,Hendersonville,TN,http://www.lrn.usace.army.mil/Locations/Lakes/OldHickoryLake.aspx,YES,YES
Alibates Flint Quarries National Monument,806-857-3151,Fritch,TX,http://www.nps.gov/alfl/,YES,YES
Amistad National Recreation Area,830-775-7491,Del Rio,TX,http://www.nps.gov/amis/,YES,YES
Anahuac NWR,409-267-3337,Anahuac,TX,http://www.fws.gov/southwest/refuges/texas/anahuac/index.html,YES,YES
Angelina NF,936-897-1068,Zavalla,TX,http://www.fs.fed.us/r8/texas/,YES,YES
Aransas NWR,361-286-3559,Austwell,TX,http://www.fws.gov/southwest/refuges/texas/aransas/,YES,YES
Bardwell Lake,972-875-5711,Ellis,TX,http://www.swf-wc.usace.army.mil/bardwell/,YES,YES
Belton/Sillhouse Lake,254-939-2461,Belton,TX,http://www.swf-wc.usace.army.mil/stillhouse/,YES,YES
Benbrook Lake,817-292-2400,Fort Worth,TX,http://www.swf-wc.usace.army.mil/benbrook/,YES,YES
Big Bend National Park,432-477-2251,Big Bend,TX,http://www.nps.gov/bibe/,YES,YES
Big Thicket National Preserve,409-951-6700,Kountze,TX,http://www.nps.gov/bith/,NO,YES
Buffalo Lake NWR,806-499-3382,Umbarger,TX,http://www.fws.gov/southwest/refuges/texas/buffalo.html,YES,YES
Caddo - LBJ National Grassland,940-627-5475,Decatur,TX,http://www.fs.fed.us/r8/texas/,YES,YES
Canyon Lake,830-964-3341,Canyon Lake,TX,http://www.swf-wc.usace.army.mil/canyon/,YES,YES
Chamizal National Memorial,915-532-7273,El Paso,TX,http://www.nps.gov/cham/,YES,YES
Davy Crockett NF,936-655-2299,Kennard,TX,http://www.fs.fed.us/r8/texas/,YES,YES
Fort Davis National Historic Site,432-426-3224,Fort Davis,TX,http://www.nps.gov/foda/,YES,YES
Georgetown Lake,512-930-5253,Georgetown,TX,http://www.swf-wc.usace.army.mil/georgetown/,YES,YES
Granger Lake,512-859-2668,Granger,TX,http://www.swf-wc.usace.army.mil/granger/,YES,YES
Grapevine Lake,817-865-2600,Grapevine,TX,http://www.swf-wc.usace.army.mil/grapevine/,YES,YES
Guadalupe Mountains National Park,915-828-3251,Salt Flat,TX,http://www.nps.gov/gumo/,YES,YES
Hagerman NWR (see also Oklahoma),903-786-2826,Sherman,TX,http://www.fws.gov/southwest/refuges/texas/hagerman,NO,YES
Hords Creek,325-625-2322,Coleman,TX,http://www.swf-wc.usace.army.mil/hords/,YES,YES
Laguna Atascosa NWR,956-748-3607,Rio Hondo,TX,http://www.fws.gov/southwest/refuges/texas/laguna.html,YES,YES
Lake Meredith National Recreation Area,806-857-3151,Fritch,TX,http://www.nps.gov/lamr/,YES,YES
Lake Oí the Pines Lake,903-665-2336,Jefferson,TX,http://www.swf-wc.usace.army.mil/lakeopines/,YES,YES
Lake Texoma ( both OK and TX),903-465-4990,Denison,TX,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Oklahoma/LakeTexoma.aspx,YES,YES
Lavon Lake,972-442-3141,Wylie,TX,http://www.swf-wc.usace.army.mil/lavon/,YES,YES
Lewisville Lake,469-645-9100,Lewisville,TX,http://www.swf-wc.usace.army.mil/lewisville/,YES,YES
Navarro Mills,254-578-1431,Purdon,TX,http://www.swf-wc.usace.army.mil/navarro/,YES,YES
Padre Island National Seashore,361-949-8173,Corpus Christi,TX,http://www.nps.gov/pais/,YES,YES
Pat Mayse Lake,903-732-3020,Powderly,TX,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Texas/PatMayseLake.aspx,YES,YES
Proctor lake,254-879-2424,Comanche,TX,http://www.swf-wc.usace.army.mil/proctor/,YES,YES
Sabine NF,409-625-1940,Hemphill,TX,http://www.fs.fed.us/r8/texas/,YES,YES
Sam Houston NF,936-344-6205,New Waverly,TX,http://www.fs.fed.us/r8/texas/,YES,YES
Sam Rayburn Lake,409-384-5716,Jasper,TX,http://www.swf-wc.usace.army.mil/samray/,YES,YES
Santa Ana NWR,956-784-7500,Alamo,TX,http://www.fws.gov/SOUTHWEST/REFUGES/texas/santana.html,YES,YES
Somerville,979-596-1622,Somerville,TX,http://www.swf-wc.usace.army.mil/somerville/,YES,YES
Texas Midcoast NWR Complex,979-964-4011,Brazoria,TX,http://www.fws.gov/southwest/refuges/texas/texasmidcoast/index.htm,YES,YES
Town Bluff Lake,409-429-3491,Woodville,TX,http://www.swf-wc.usace.army.mil/townbluff/,YES,YES
Truscott Project,940-474-3293,Crowell,TX,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Texas/TruscottLake.aspx,YES,YES
US Forest Service Texas Office,936-639-8501,Lufkin,TX,http://www.fs.fed.us/r8/texas/,YES,YES
Waco Lake,254-756-5359,Waco,TX,http://www.swf-wc.usace.army.mil/waco/,YES,YES
Whitney Lake,254-622-3332,Clifton,TX,http://www.swf-wc.usace.army.mil/whitney/,YES,YES
Wright Patman Lake,903-838-8781,Texarkana,TX,http://www.swf-wc.usace.army.mil/wrightpatman/,YES,YES
Arches National Park,435-719-2299,Moab,UT,http://www.nps.gov/arch/,YES,YES
Arizona Strip BLM Field Office (also Grand Canyon-Parashant National Monument),435-688-3200,St. George,UT,http://www.blm.gov/az/st/en/fo/arizona_strip_field.html,YES,YES
Arizona Strip District Office (in Utah),435-688-3200,St George,UT,http://www.blm.gov/az/st/en/fo/arizona_strip_field.html,YES,YES
Ashley NF - Duchesne District,435-738-2482,Duchesne,UT,http://www.fs.fed.us/r4/ashley/contact/,YES,YES
Ashley NF - Flaming Gorge District,435-784-3445,Manila,UT,http://www.fs.fed.us/r4/ashley/contact/,YES,YES
Ashley NF - Main Office and Vernal District,435-789-1181,Vernal,UT,http://www.fs.fed.us/r4/ashley/contact/,YES,YES
Ashley NF - Roosevelt District,435-722-5018,Roosevelt,UT,http://www.fs.fed.us/r4/ashley/contact/,YES,YES
Bear River Migratory Bird Refuge,208-847-1757,Brigham City,UT,http://www.fws.gov/refuge/bear_river_migratory_bird_refuge/,YES,YES
Bryce Canyon National Park,435-834-5322,Bryce Canyon,UT,http://www.nps.gov/brca/,YES,YES
